PARTICIPATING INDY LEARN TO TURN RESORT (NO ACCESS UNLESS RESORT IS LISTED),"Christmas/New Years
Dec 20- Jan 4","MLK Weekend
Jan 17 - 19","President's Weekend
Feb 14 - 16","Peak Saturdays
Jan 10 - Mar 7","Peak Sundays
Jan 11 - Mar 8",Additional Blackout Dates/Details,Survey - LTT Pass,Reservations Required?,Comments - To be Deleted
Pats Peak,PARTIAL (SEE ADDITIONAL),BLACKOUT,BLACKOUT,BLACKOUT,BLACKOUT,"Ages 7 and up only. Dates Valid: Every Day we are operating between Opening and Dec 24; Mar 2 – Closing Day = Mon, Tues, Wed, Thurs ONLY. ",Yes,Yes,Contract Signed
Shawnee Mountain Ski Area,BLACKOUT,BLACKOUT,BLACKOUT,BLACKOUT,BLACKOUT,2/17/26-2/22/2026.,No Survey,No Survey,
Ski Big Bear at Masthope Mountain,PARTIAL (SEE ADDITIONAL),BLACKOUT,BLACKOUT,NO BLACKOUT,NO BLACKOUT,12/26/25-01/04/2026; 02/17/26-02/21/2026,Yes,Yes,Contract Signed
Smokey Mountains Ski Club,NO BLACKOUT,NO BLACKOUT,NO BLACKOUT,NO BLACKOUT,NO BLACKOUT,,No Survey,No Survey,
Soldier Mountain,NO BLACKOUT,NO BLACKOUT,NO BLACKOUT,NO BLACKOUT,NO BLACKOUT,,Yes,Yes,Contract Signed
Sundown Mountain,NO BLACKOUT,BLACKOUT,BLACKOUT,NO BLACKOUT,NO BLACKOUT,1/25/26-1/26/2026,No Survey,No Survey,
Sunlight Mountain,BLACKOUT,NO BLACKOUT,BLACKOUT,BLACKOUT,NO BLACKOUT,3/15/26-3/21/2026,No Survey,No Survey,
Swain Resort,NO BLACKOUT,NO BLACKOUT,NO BLACKOUT,NO BLACKOUT,NO BLACKOUT,,Yes,Yes,
Tenney Mountain,PARTIAL (SEE ADDITIONAL),BLACKOUT,NO BLACKOUT,NO BLACKOUT,NO BLACKOUT,1/1/26-1/4/2026; 1/17/26-1/19/26,Yes,Yes,
Titus Mountain Family Ski Center,NO BLACKOUT,NO BLACKOUT,NO BLACKOUT,NO BLACKOUT,NO BLACKOUT,"Titus does not have helmets available to rent. Lessons are only available on Fridays, Saturdays, Sundays, and American holidays.",Yes,Yes,Contract Signed
Waterville Valley,BLACKOUT,BLACKOUT,BLACKOUT,BLACKOUT,NO BLACKOUT,11/30/25; 12/1-12/13/25; 1/8-1/9/26; 1/13-1/16/26; 1/22-1/23/26; 1/30; 2/6/26; 2/8-2/10/26; 2/12-2/13/26; 2/17-2/21;26; 3/1-3/2/26; 3/22-3/23/26; 3/26/26-end of season,Yes,Yes,
Waterville Valley,Christmas/New Year,MLK Weekend,Presidents Weekend,Peak Saturdays,,,Yes,Yes,Contract Sent
