name,city,state,country
Rauriser-Hochalmbahnen,Rauris,Salzburg,Austria
Hardwood Ski and Bike,Barrie,Ontario,Canada
Great Bear Ski Valley,Sioux Falls,South Dakota,United States
Phoenix Mountain,Grand Forks,British Columbia,Canada
Cuchara,Cuchara,Colorado,United States
Eaglecrest,Juneau,Alaska,United States
Shimokura,Hachimantai,Iwate,Japan
Mount Kato,Mankato,Minnesota,United States
Donner Ski Ranch,,,United States
Camp Fortune,Chelsea,Quebec,Canada
Canaan Valley,Davis,West Virginia,United States
Dry Hill Ski Area,Watertown,New York,United States
Ejder3200 Palandoken,Erzurum,Erzurum,Türkiye
Pitztaler Gletscherbahn,Mittelberg,Vorarlberg,Austria
Treetops Resort,Gaylord,Michigan,United States
Cataloochee Ski Area,Maggie Valley,North Carolina,United States
Hochzeiger Bergbahnen Pitztal AG,Jerzens,Tyrol,Austria
Silver Mountain,Kellogg,Idaho,United States
White Grass Ski Touring,Davis,West Virginia,United States
Tazawako,Minamiaizu,Fukushima,Japan
China Peak,Lakeshore,California,United States
Pats Peak,Henniker,New Hampshire,United States
Catamount Mountain Resort,Egremont,Massachusetts,United States
Granite Peak,Wausau,Wisconsin,United States
Burke Mountain,Burke,Vermont,United States
Kaya Palazzo Kartalkaya Ski & Mountain Resort,Gökpınar,Bolu,Türkiye
Snowriver,Wakefield,Michigan,United States
Mont Rigaud,,Quebec,Canada
Pila,Aosta,Aosta Valley,Italy
Powderhorn,,Colorado,United States
King Pine,New Hope,Alabama,United States
Shames Mountain,Terrace,British Columbia,Canada
Tenney Mountain,Plymouth,New Hampshire,United States
Mount Washington Alpine Resort Nordic Centre at Raven Lodge,,British Columbia,Canada
Ski Bluewood,Dayton,Washington,United States
Nickel Plate Cross Country Ski Club,Hedley,British Columbia,Canada
Dynaland,Gujo,Gifu,Japan
Mount Racey Ski Resort,Yubari,Hokkaido,Japan
Hoedown Hill,Windsor,Colorado,United States
49 Degrees North,Chewelah,Washington,United States
Buffalo Ski Club,Colden,New York,United States
Maiko Resort,Minamiuonuma,Niigata,Japan
Jackson XC,Jackson,New Hampshire,United States
Mt. Washington,,British Columbia,Canada
Marquette Mountain,Marquette,Michigan,United States
Washigatake Ski Resort,Gujo,Gifu,Japan
Waterville Valley Resort,Waterville Valley,New Hampshire,United States
West Mountain,,New York,United States
Hirugano Kogen Ski Resort,Gujo,Gifu,Japan
Big White Ski Resort,Kelowna,British Columbia,Canada
Baldy Mountain Resort,Oliver,British Columbia,Canada
Castle Mountain Resort,Pincher Creek,Alberta,Canada
Little Switzerland,Slinger,Wisconsin,United States
Winterplace Ski Resort,Flat Top,West Virginia,United States
Huff Hills Ski Area,Mandan,North Dakota,United States
Methow Trails XC,Winthrop,Washington,United States
Manning Park,Hope,British Columbia,Canada
Geto Kogen,Kitakami,Iwate,Japan
Mt. Hood Meadows,Mount Hood,Oregon,United States
Destination Owls Head,Mansonville,Quebec,Canada
Rangeley Lakes Trail Center,Rangeley,Maine,United States
Mountain High,Wrightwood,California,United States
Smokey Mountain Ski Club,,Newfoundland and Labrador,Canada
Bear Creek,Macungie,Pennsylvania,United States
Sunburst Ski Area,Kewaskum,Wisconsin,United States
WhitePIA Takasu,Gujo,Gifu,Japan
Mt Eyak,Cordova,Alaska,United States
The Krvavec Ski Resort,Cerklje na Gorenjskem,Kranj,Slovenia
Dodge Ridge,Pinecrest,California,United States
Calabogie Peaks Resort,Calabogie,Ontario,Canada
"Levi, Finland",Kittilä,Lapland,Finland
Homestake Lodge,Butte,Montana,United States
Cupid Valley,Joetsu,Niigata,Japan
Mt. Abram,Greenwood,Maine,United States
Maple Ski Ridge,Schenectady,New York,United States
Whitehorse Nordic Centre,Whitehorse,Yukon,Canada
Hyland Hills,Bloomington,Minnesota,United States
Mont Edouard,L'Anse-Saint-Jean,Quebec,Canada
Björkliden,,,Sweden
Cannon Mountain,Franconia,New Hampshire,United States
Little Ski Hill,McCall,Idaho,United States
Turpin Meadow Ranch,Jackson,Wyoming,United States
Chestnut Mountain Resort,Galena,Illinois,United States
Kelly Canyon,Ririe,Idaho,United States
Mt. Holiday,Traverse City,Michigan,United States
Nordic Mountain,Wild Rose,Wisconsin,United States
Mt La Crosse,La Crosse,Wisconsin,United States
Manning Park XC,Hope,British Columbia,Canada
Norway Mountain,Norway,Michigan,United States
Black Mountain of Maine,Rumford,Maine,United States
Nubs Nob,Harbor Springs,Michigan,United States
Ski Big Bear,Lackawaxen,Pennsylvania,United States
Sundown Mountain,Dubuque,Iowa,United States
Mt. Shasta,Mount Shasta,California,United States
Detroit Mountain,Detroit Lakes,Minnesota,United States
Hatley Pointe,Mars Hill,North Carolina,United States
Big Powderhorn,Bessemer,Michigan,United States
Williams Lake Cross Country Ski Club,Williams Lake,British Columbia,Canada
Pomerelle Mountain Resort,Burley,Idaho,United States
Val d'Irène,,Quebec,Canada
Mohawk Mountain,Cornwall,Connecticut,United States
Magic Mountain,Londonderry,Vermont,United States
Skaneateles Ski Club,Syracuse,New York,United States
Ski Vallée Bleue,Val-David,Quebec,Canada
Crystal Ridge,Franklin,Wisconsin,United States
Leavenworth Winter Sports Club,Leavenworth,Washington,United States
Yuzawa Nakazato Snow Resort,Yuzawa,Niigata,Japan
Ani Ski Resort,Akita,Akita,Japan
Muica Snow Resort,Minamiuonuma,Niigata,Japan
Lost Trail Powder Mountain,Darby,Montana,United States
Plain Valley Ski Trails,Leavenworth,Washington,United States
Tangram Ski Circus,Shinano,Nagano,Japan
Crystal Mountain,Thompsonville,Michigan,United States
Garnet Hill XC,North River,New York,United States
Eagle Point,Beaver,Utah,United States
Massanutten Resort,Massanutten,Virginia,United States
Kaunertaler Gletscher,Kaunertal,Tyrol,Austria
Tamarack Mountain Resort,Donnelly,Idaho,United States
Trollhaugen,Dresser,Wisconsin,United States
Bruce Mound Winter Sports Area,Merrillan,Wisconsin,United States
Catamount Outdoor Family Center,Williston,Vermont,United States
Kiroro Snow World,Otaru,Hokkaido,Japan
Bryce Resort,Basye,Virginia,United States
Cazenovia Ski Club,Cazenovia,New York,United States
OBERSTDORF KLEINWALSERTAL BERGBAHNEN,Riezlern,Vorarlberg,Austria
Corralco Mountain Resort,,Araucanía,Chile
Bear Basin Nordic Center,McCall,Idaho,United States
Black Jack Cross Country Ski Club,Rossland,British Columbia,Canada
Enchanted Forest XC,Red River,New Mexico,United States
