,name,location_name,longitude,latitude,vertical,is_nordic,is_alpine_xc,is_xc_only,is_allied,num_trails,num_lifts,is_open_nights,has_terrain_parks,web_page,is_alpine_xc_display,is_open_nights_display,has_terrain_parks_display,is_allied_display
94,Kiroro Snow World,"Otaru, Hokkaido, Japan",140.9833059,43.0663934,"{'elevation': 2165, 'summit': 3872, 'base': 1706}",False,False,False,False,23,10,True,False,https://www.indyskipass.com/our-resorts/kiroro-snow-world,No,Yes,No,No
288,Leavenworth Winter Sports Club,"Leavenworth, WA, USA",-120.6712683,47.6141122,{},True,False,True,False,6,,True,False,https://www.indyskipass.com/our-resorts/leavenworth-winter-sports-club,No,Yes,No,No
95,Little Switzerland,"Slinger, WI, USA",-88.2815214,43.3379806,"{'elevation': 200, 'summit': 1001, 'base': 801}",False,False,False,False,16,8,True,True,https://www.indyskipass.com/our-resorts/little-switzerland,No,Yes,Yes,No
96,Loch Lomond,"Thunder Bay, ON, CA",-89.3508156,48.2939871,"{'elevation': 751, 'summit': 1450, 'base': 699}",False,False,False,False,18,3,True,True,https://www.indyskipass.com/our-resorts/loch-lomond,No,Yes,Yes,No
97,Lost Trail Powder Mountain,"Darby , MT, USA",-113.9546482,45.6922649,"{'elevation': 1200, 'summit': 8200, 'base': 7000}",False,False,False,False,68,8,False,True,https://www.indyskipass.com/our-resorts/lost-trail-powder-mountain,No,No,Yes,No
369,Lost Valley,"Auburn, ME",-70.2855319,44.1360699,"{'elevation': 233, 'summit': 495, 'base': 255}",False,False,False,False,22,3,True,True,https://www.indyskipass.com/our-resorts/lost-valley,No,Yes,Yes,No
98,Loup Loup Ski Bowl,"Twisp, WA, USA",-119.9135503,48.3943616,"{'elevation': 1240, 'summit': 5260, 'base': 4020}",True,True,False,False,14,3,False,True,https://www.indyskipass.com/our-resorts/loup-loup-ski-bowl,Yes,No,Yes,No
377,Loveland Ski Area,"Georgetown, CO",-105.9005334,39.6800625,"{'elevation': 2210, 'summit': 13010, 'base': 10800}",False,False,False,False,94,12,False,True,https://www.indyskipass.com/our-resorts/loveland-ski-area,No,No,Yes,No
99,Lutsen Mountains,"Lutsen, MN, USA",-90.716136,47.663713,"{'elevation': 825, 'summit': 1688, 'base': 863}",False,False,False,False,95,7,False,True,https://www.indyskipass.com/our-resorts/lutsen-mountains,No,No,Yes,No
100,Madarao Ski Resort,"Myoko Kogen, Nagano",138.2880255,36.8524572,"{'elevation': 1443, 'summit': 4429, 'base': 2985}",False,False,False,False,32,10,False,True,https://www.indyskipass.com/our-resorts/madarao-ski-resort,No,No,Yes,No
101,Magic Mountain,"Londonderry , VT, USA",-72.77132459,43.20191601,"{'elevation': 1500, 'summit': 2850, 'base': 1350}",False,False,False,False,50,5,False,True,https://www.indyskipass.com/our-resorts/magic-mountain,No,No,Yes,No
353,Maiko Resort,"Maiko, Minamiuonuma, Niigata, Japan",138.82445635587,36.982265957181,"{'elevation': 2166, 'summit': 3019, 'base': 853}",False,False,False,False,26,10,True,True,https://www.indyskipass.com/our-resorts/maiko-resort,No,Yes,Yes,No
387,Malá Úpa,"Malá Úpa, Czechia",15.5505559,50.7201426,"{'elevation': 853, 'summit': 4134, 'base': 3264}",False,False,False,False,8,9,False,True,https://www.indyskipass.com/our-resorts/mala-upa,No,No,Yes,No
102,Manning Park,"Hope, BC, CA",-120.9521503,49.0701941,"{'elevation': 1417, 'summit': 5868, 'base': 4451}",True,True,False,False,35,4,False,True,https://www.indyskipass.com/our-resorts/manning-park,Yes,No,Yes,No
289,Manning Park XC,"Hope, BC, CA",-120.7897713,49.063089,{},True,False,True,False,35,,False,False,https://www.indyskipass.com/our-resorts/manning-park-xc,No,No,No,No
103,Maple Ski Ridge,"Schenectady, NY, USA",-74.0371723,42.8170709,"{'elevation': 270, 'summit': 720, 'base': 450}",False,False,False,False,8,4,True,False,https://www.indyskipass.com/our-resorts/maple-ski-ridge,No,Yes,No,No
290,Maplelag Resort,"Callaway, MN, USA",-95.7793197,47.009156,{},True,False,True,False,17,,False,False,https://www.indyskipass.com/our-resorts/maplelag-resort,No,No,No,No
104,Marquette Mountain,"Marquette, MI, USA",-87.42339,46.5082074,"{'elevation': 540, 'summit': 1297, 'base': 757}",False,False,False,False,29,4,True,True,https://www.indyskipass.com/our-resorts/marquette-mountain,No,Yes,Yes,No
105,Massanutten Resort,"Massanutten, VA, USA",-78.7572956,38.4035359,"{'elevation': 1100, 'summit': 2850, 'base': 1740}",False,False,False,False,23,7,True,True,https://www.indyskipass.com/our-resorts/massanutten-resort,No,Yes,Yes,No
382,Massif du Sud,"Saint-Philémon, Quebec",-70.5247494,46.621511,"{'elevation': 1686, 'summit': 3002, 'base': 1316}",False,False,False,False,37,2,False,True,https://www.indyskipass.com/our-resorts/massif-du-sud,No,No,Yes,No
267,McIntyre Ski Area,"Manchester, NH, USA",-71.44381919,43.00755388,"{'elevation': 200, 'summit': 510, 'base': 340}",False,False,False,True,11,5,True,True,https://www.indyskipass.com/our-resorts/mcintyre-ski-area,No,Yes,Yes,Yes
106,Meadowlark Ski Resort,"Ten Sleep, WY, USA",-107.2238357,44.1636263,"{'elevation': 735, 'summit': 9200, 'base': 8465}",False,False,False,False,14,2,False,False,https://www.indyskipass.com/our-resorts/meadowlark-ski-resort,No,No,No,No
292,Methow Trails XC,"Winthrop, WA, USA",-120.1825961,48.4681634,{},True,False,True,False,64,,False,False,https://www.indyskipass.com/our-resorts/methow-trails-xc,No,No,No,No
348,Middlebury Snowbowl,"Hancock, VT",-72.957726677625,43.939029933484,"{'elevation': 1020, 'summit': 2720, 'base': 1700}",False,False,False,False,17,4,True,False,https://www.indyskipass.com/our-resorts/middlebury-snowbowl,No,Yes,No,No
293,Minocqua Winter Park,"Minocqua, WI, USA",-89.8977884,45.830018,{},True,False,True,False,30,,False,False,https://www.indyskipass.com/our-resorts/minocqua-winter-park,No,No,No,No
107,Mission Ridge,"Wenatchee, WA, USA",-120.4024513,47.2924657,"{'elevation': 2250, 'summit': 6820, 'base': 4570}",False,False,False,False,54,7,True,True,https://www.indyskipass.com/our-resorts/mission-ridge,No,Yes,Yes,No
108,Mohawk Mountain,"Cornwall, CT, USA",-73.3176389,41.838231,"{'elevation': 650, 'summit': 1600, 'base': 950}",False,False,False,False,26,8,True,False,https://www.indyskipass.com/our-resorts/mohawk-mountain,No,Yes,No,No
374,Mont Rigaud,"Riquad QC, Canada",-74.4091987,45.4680559,"{'elevation': 394, 'summit': 728, 'base': 331}",False,False,False,False,15,4,True,True,https://www.indyskipass.com/our-resorts/mont-rigaud,No,Yes,Yes,No
268,Mont Ripley Ski Area,"Hancock , MI, USA",-88.56009945,47.12809236,"{'elevation': 440, 'summit': 1100, 'base': 650}",False,False,False,True,24,4,True,True,https://www.indyskipass.com/our-resorts/mont-ripley-ski-area,No,Yes,Yes,Yes
109,Montage Mountain,"Scranton PA, PA, USA",-75.6654972,41.3512429,"{'elevation': 1000, 'summit': 1960, 'base': 960}",False,False,False,False,27,7,True,True,https://www.indyskipass.com/our-resorts/montage-mountain,No,Yes,Yes,No
110,Montana Snowbowl,"Missoula, MT, USA",-114.0021483,47.014436,"{'elevation': 2600, 'summit': 7600, 'base': 4980}",False,False,False,False,68,6,False,False,https://www.indyskipass.com/our-resorts/montana-snowbowl,No,No,No,No
322,Moose Mountain,"Fairbanks, AK",-147.99068199473,64.941226825412,"{'elevation': 1300, 'summit': 1987, 'base': 680}",False,False,False,False,42,1,False,False,https://www.indyskipass.com/our-resorts/moose-mountain,No,No,No,No
111,Mount Baldy Ski Area,"Thunder Bay, ON, CA",-89.1308235,48.5258002,"{'elevation': 476, 'summit': 2076, 'base': 1600}",False,False,False,False,12,3,True,True,https://www.indyskipass.com/our-resorts/mount-baldy-ski-area,No,Yes,Yes,No
113,Mount Kato,"Mankato, MN, USA",-94.0359465,44.1331301,"{'elevation': 240, 'summit': 1030, 'base': 790}",False,False,False,False,19,10,True,True,https://www.indyskipass.com/our-resorts/mount-kato,No,Yes,Yes,No
114,Mountain High,"Wrightwood, CA, USA",-117.6941045,34.3769418,"{'elevation': 1600, 'summit': 8200, 'base': 6600}",False,False,False,False,50,14,True,True,https://www.indyskipass.com/our-resorts/mountain-high,No,Yes,Yes,No
338,Mt Eyak,,,,"{'elevation': None, 'summit': None, 'base': None}",False,False,False,False,,,False,False,https://www.indyskipass.com/our-resorts/mt-eyak,No,No,No,No
347,Mt. Abram,"Greenwood, Maine",-70.706811255825,44.379734955115,"{'elevation': 1050, 'summit': 2000, 'base': 950}",False,False,False,False,43,4,False,False,https://www.indyskipass.com/our-resorts/mt-abram,No,No,No,No
