resort_id,source,source_id
44186bee-5bfd-4d0a-9b43-3ac7e0ffdc4b,indy,garnet-hill-xc
5cbc8dad-2074-425d-9813-117d4c278893,indy,geto-kogen
e4a7ba4f-9f33-4f61-b649-aa65fe0ae720,indy,glencoe-mountain-resort
bb51ca02-6ef9-40ae-b3a0-22b9b7662f29,indy,glenshee-ski-centre
0e31cf0a-7059-44a4-a700-7ed8690cacd7,indy,granby-ranch
4d03ea7a-e14e-4e43-a3b4-633de1061113,indy,granite-peak
79a1880e-54e9-474f-8c86-7dd23fe5dc93,indy,great-bear-ski-valley
deb4f5de-400c-490e-afc4-7f8c23fec7ca,indy,great-glen-trails-outdoor-center
92bd91b2-95f4-4c03-947a-1461c8cc65a2,indy,greek-peak-mountain-resort
f217d2e7-4db4-4963-b0b7-c6edefa78453,indy,hardwood-ski-and-bike
47ec9417-bd08-4ce3-88ef-c71df3808e95,indy,hatley-pointe
90edef27-44f4-41bc-b5a1-d67b0b7f9c22,indy,haymaker-nordic-center
2f277a04-7f1a-4521-9a49-4bc74533b64b,indy,high-point-xc-ski-center
1f62ff49-4e08-4be1-b0c3-41baa65be89a,indy,hilltop-ski-area
3a9acd6e-9b29-4213-a75a-9d0611765992,indy,hirugano-kogen-ski-resort
0566ab1b-b8c3-41d4-8a94-37d4a30fee47,indy,hochzeiger-bergbahnen-pitztal-ag
27cd41c2-eb2b-436f-9958-d1bbdbae6607,indy,hockley-valley-resort
e8d3b701-9059-4c75-9c17-cd4c25baa025,indy,hodaigi-mountain-resort
20779e7b-9930-4c55-86e9-ac17a59db10e,indy,hoedown-hill
174703cc-e942-4dfe-afc0-b3871701f0ef,indy,homestake-lodge
178ec55a-f776-4c99-8e87-1b78e1cc58f1,indy,hoodoo
2ec9ae5c-a78a-4ba5-a01f-7cb9b35658cf,indy,howelsen-hill
31528d9b-1684-4956-8631-d26caf294015,indy,hudson-bay-mountain
7c618489-cce2-45e0-a828-4d51c34ac767,indy,huff-hills-ski-area
8c681432-caa6-46e6-bab1-6cd9c5b62a19,indy,hunt-hollow-ski-club
8230464d-a700-418e-9732-e66f21804b7b,indy,hurricane-ridge
1e688189-145b-4b3b-9be7-ffb9afca3fa2,indy,hyland-hills
dedb43fd-187d-45e3-9e4f-c5eaa22fa17e,indy,innsbruck-ski-city-network
